episode,alpha
1,0.7999999999999997
2,0.7999999999999999
3,0.7999999999999999
4,0.7754385964912283
5,0.8
6,0.46196892659987226
7,0.8000000000000002
8,0.2346913413802205
9,0.3959161986962713
10,0.8
11,0.1644292745002612
12,0.08876053069549127
13,0.27813489553181875
14,0.17579520729896667
15,0.09412310474504983
16,0.5575757575757576
17,0.06610700638071561
18,0.05585547133652585
19,0.024893758212249293
20,0.07686311432403369
21,0.019477925516513964
22,0.048584155354258245
23,0.01789886197971604
24,0.02241567018285801
25,0.020058889402618404
26,0.2820819932051956
27,0.023607828081951894
28,0.1190435994934115
29,0.12465146219905779
30,0.01555113696381354
31,0.018213161375304873
32,0.012331557157189435
33,0.029293658020838817
34,0.005035452993004696
35,0.007981193171295524
36,0.043638173349420245
37,0.05
38,0.008252419267368555
39,0.007011511513682207
40,0.00540738019941627
41,0.005586386640511549
42,0.0047112865854407795
43,0.012482571644084787
44,0.007006873565254414
45,0.011777599910844736
46,0.06666666666666667
47,0.011665410343303454
48,0.00866857383350732
49,0.005082141115210641
50,0.010749319665403725
51,0.016155966379343023
52,0.004591977667559561
53,0.004144949450995631
54,0.007094431503027014
55,0.006176705183799798
56,0.00789763219716233
57,0.0037197830160926636
58,0.004170192845753135
59,0.028016490288580054
60,0.023015873015873017
61,0.010479612135168981
62,0.0037357796945827245
63,0.0061238245480011895
64,0.021052631578947368
65,0.00507977924154828
66,0.0031378496266409716
67,0.0055110418616292865
68,0.012651863507091863
69,0.005888392323428691
70,0.01013460319373764
71,0.005597240487831233
72,0.00318768727531149
73,0.003945249397824037
74,0.006274431735445891
75,0.014533275616954158
76,0.017990142040774953
77,0.00508659049406669
78,0.0036301891998937836
79,0.0032196688009508458
80,0.005322232967454254
81,0.004449942097315469
82,0.004151076908052127
83,0.002522731481083715
84,0.004740104824060961
85,0.002624394049589524
86,0.0034412858416480387
87,0.0031843717245388513
88,0.0033639840112506727
89,0.0030256236732609243
90,0.0029562978829052447
91,0.0047644520253100784
92,0.005923330320868248
93,0.002478507160532569
94,0.002580282217459076
95,0.008094003060846061
96,0.002347098296390344
97,0.0045725372930347135
98,0.0019915383605889165
99,0.0026814872817249127
100,0.0027116203134769515
